20232	kafka	4	1024	16	40000
20233	mofka	4	1024	16	40000
20234	kafka	4	4096	8	10000
20235	mofka	4	4096	8	10000
20236	kafka	4	16384	8	10000
20237	mofka	4	16384	8	10000
20238	kafka	4	65536	8	10000
20239	mofka	4	65536	8	10000
20240	kafka	8	1024	16	40000
20241	mofka	8	1024	16	40000
20242	kafka	8	4096	8	10000
20243	mofka	8	4096	8	10000
20244	kafka	8	16384	8	10000
20245	mofka	8	16384	8	10000
20246	kafka	8	65536	8	10000
20247	mofka	8	65536	8	10000
20248	kafka	16	1024	16	40000
20249	mofka	16	1024	16	40000
20250	kafka	16	4096	8	10000
20251	mofka	16	4096	8	10000
20252	kafka	16	16384	8	10000
20253	mofka	16	16384	8	10000
20254	kafka	16	65536	8	10000
20255	mofka	16	65536	8	10000
