timestamp,datetime,result_dir,profile_mode,nodelist,workflow,node_count,client_count,message_size_bytes,operation_count,duration_seconds,throughput_ops_per_sec,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,success,metrics_path
20260511-222650,2026-05-11T22:26:50,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-222650,,,minimal_local_write_validation,1,1,64,5,55,0.00351353,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-222650/chronolog/metrics.json
20260511-230049,2026-05-11T23:00:49,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-230049,,,tau_instrumented_write_validation,1,1,64,5,0,0,,,,,False,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-230049/chronolog/metrics.json
20260511-231340,2026-05-11T23:13:40,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-231340,,,tau_instrumented_write_validation,1,1,64,5,50,0.1,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-231340/chronolog/metrics.json
20260511-231753,2026-05-11T23:17:53,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-231753,,,perf_validation_probe,1,0,0,0,0,0,,,,,False,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-231753/chronolog/metrics.json
20260511-232017,2026-05-11T23:20:17,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232017,,,gperftools_cpu_profile_write_validation,1,1,64,20,50,0.00557275,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232017/chronolog/metrics.json
20260511-232306,2026-05-11T23:23:06,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232306,,,gperftools_heap_profile_write_validation,1,1,64,20,56,0.00088514,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232306/chronolog/metrics.json
20260511-232950,2026-05-11T23:29:50,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232950,,,darshan_validation_write_validation,1,1,64,5,50,0.00244466,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-232950/chronolog/metrics.json
20260511-233224,2026-05-11T23:32:24,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-233224,,,ebpf_based_observability_probe,1,0,0,0,0,0,,,,,False,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-233224/chronolog/metrics.json
20260511-233350,2026-05-11T23:33:50,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-233350,,,linux_network_measurement_write_validation,1,1,64,5,50,0.00293356,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260511-233350/chronolog/metrics.json
20260512-005534,2026-05-12T00:55:34,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-005534,,,append_throughput,2,1,1024,1,0.0,0.0,,,,,False,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-005534/chronolog/metrics.json
20260512-005631,2026-05-12T00:56:31,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-005631,,,append_throughput,2,1,1024,1,3986.954684273059,0.000250818,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-005631/chronolog/metrics.json
20260512-010115,2026-05-12T01:01:15,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-010115,,,append_throughput,2,1,1024,10,5066.266769343006,0.00197384,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-010115/chronolog/metrics.json
20260512-010537,2026-05-12T01:05:37,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-010537,,,append_latency,2,1,1024,10,0.02178802201524377,458.96777564313095,1.32669098675251,0.36741001531481743,8.178920950740576,8.178920950740576,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-010537/chronolog/metrics.json
20260512-015243,2026-05-12T01:52:43,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243,,,range_retrieval,2,1,1024,10,2.00279733305797,4.993016435033647,2002.7973330579698,2002.7973330579698,2002.7973330579698,2002.7973330579698,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243/chronolog/metrics.json
20260512-020504,2026-05-12T02:05:04,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-020504,,,append_throughput,4,1,1024,100,29263.724686878144,0.0034172,,,,,True,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-020504/chronolog/metrics.json
20260512-094232,2026-05-12T09:42:32,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-094232,tau,,append_throughput,2,1,1024,20,0.0,0.0,,,,,False,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-094232/chronolog/metrics.json
